,id,latitude,longitude,time,speedInternet,device2ApSpeed,gps_accuracy,grid_cell,RSSI,allrooms_id,ap_MAC,distance,phone_mac,satellite_in_view,pseudorange,qr_id,lat_stated,lon_stated,SSID,ip
132,600,45.0647,7.658930000000001,19/3/18 9.57,29.17,72,15.17,0,-61,696,f4:cf:e2:c6:b9:f0,6.17511,10:7b:44:89:6a:6d,0,,26.0,45.06479024,7.658784764,polito,172.21.54.1
133,599,45.0643,7.6589100000000006,19/3/18 9.57,74.35,526,16.0,0,-69,696,f4:cf:e2:c6:b9:ff,3.99566,30:7:4d:79:e8:6,17,"sat:GPS5 pdr:264.20093179282594 Cn0:19.601348876953125 
sat:GPS7 pdr:616.5654759749882 Cn0:24.405651092529297 
sat:GPS8 pdr:-101.01231507079996 Cn0:13.806436538696289 
sat:GPS9 pdr:727.638361330175 Cn0:19.006385803222656 
sat:GPS13 pdr:-289.3156805202675 Cn0:17.34278678894043 
sat:GPS15 pdr:-479.5822210272913 Cn0:15.091665267944336 
sat:GPS20 pdr:-443.09630375294887 Cn0:16.977338790893555 
sat:GPS28 pdr:-211.0114752363063 Cn0:15.037347793579102 
sat:GPS30 pdr:411.3223201753415 Cn0:29.81085968017578 
sat:GLN2 pdr:199.151087108477 Cn0:14.303491592407227 
sat:GLN12 pdr:304.7501936162744 Cn0:29.485279083251953 
sat:GLN11 pdr:838.055568386776 Cn0:27.01544189453125 
sat:GLN19 pdr:435.4204914720772 Cn0:10.628721237182617 
sat:GAL2 pdr:273.9940485202642 Cn0:21.746719360351562 
sat:GAL7 pdr:-164.1329137830611 Cn0:18.888042449951172 
sat:GAL8 pdr:321.68443704665447 Cn0:17.727649688720703 
sat:GAL30 pdr:-286.9589127341717 Cn0:14.530562400817871 
",26.0,45.06479024,7.658784764,polito,172.21.54.1
134,598,45.0647,7.65884,19/3/18 9.57,57.55,292,19.694000000000003,0,-63,696,f4:cf:e2:c6:b9:ff,4.4832,30:7:4d:79:e8:6,2,"sat:GPS7 pdr:614.3230548305264 Cn0:29.516695022583008 
sat:GPS30 pdr:409.7343844434872 Cn0:24.337007522583008 
",25.0,45.06472129,7.658810671,polito,172.21.54.1
135,597,45.0647,7.6588199999999995,19/3/18 9.54,21.25,72,17.796,0,-51,696,f4:cf:e2:c6:b9:f0,3.09488,10:a5:d0:8a:47:ce,0,,25.0,45.06472129,7.658810671,polito,172.21.54.1
136,596,45.0647,7.6588199999999995,19/3/18 9.54,30.18,72,20.158,0,-51,696,f4:cf:e2:c6:b9:f0,3.47252,10:7b:44:89:6a:6d,0,,25.0,45.06472129,7.658810671,polito,172.21.54.1
137,595,45.0647,7.6588199999999995,19/3/18 9.54,30.18,72,20.158,0,-51,696,f4:cf:e2:c6:b9:f0,3.47252,10:7b:44:89:6a:6d,0,,25.0,45.06472129,7.658810671,polito,172.21.54.1
138,594,45.0647,7.6588199999999995,19/3/18 9.54,30.18,72,20.158,0,-51,696,f4:cf:e2:c6:b9:f0,3.47252,10:7b:44:89:6a:6d,0,,25.0,45.06472129,7.658810671,polito,172.21.54.1
139,593,45.0647,7.6588199999999995,19/3/18 9.54,30.18,72,20.158,0,-51,696,f4:cf:e2:c6:b9:f0,3.47252,10:7b:44:89:6a:6d,0,,25.0,45.06472129,7.658810671,polito,172.21.54.1
140,591,45.0655,7.6588199999999995,16/3/18 13.11,90.19,702,17.793,7,-56,661,00:35:1a:9e:2f:3f,1.83303,60:f1:89:4a:de:20,0,,,45.06555732,7.658787005,polito,172.21.52.1
141,590,45.0655,7.6588199999999995,16/3/18 13.11,90.19,702,17.793,7,-56,661,00:35:1a:9e:2f:3f,1.83303,60:f1:89:4a:de:20,0,,,45.06555732,7.658787005,polito,172.21.52.1
142,589,45.0655,7.6588199999999995,16/3/18 13.11,90.19,702,17.793,7,-56,661,00:35:1a:9e:2f:3f,1.83303,60:f1:89:4a:de:20,0,,,45.06555732,7.658787005,polito,172.21.52.1
143,588,45.0649,7.6569199999999995,15/3/18 18.49,10.52,65,21.999000000000002,0,-72,696,f4:cf:e2:c6:b1:d0,43.7164,e0:aa:96:14:1b:8e,0,,40.0,45.06488815,7.656734859,polito,172.21.86.1
144,587,45.0649,7.65683,15/3/18 18.49,20.75,135,17.971,0,-68,696,f4:cf:e2:c3:ac:7f,10.0366,60:45:cb:2f:f:cb,7,"sat:GPS2 pdr:2325.078369140625 snr:2.0102999566398125 Cn0:19.0 
sat:GPS5 pdr:-2070.296630859375 snr:2.0102999566398125 Cn0:19.0 
sat:GPS12 pdr:2593.455810546875 snr:0.010299956639812535 Cn0:17.0 
sat:GPS25 pdr:1370.9052734375 snr:-1.9588001734407534 Cn0:16.0 
sat:GPS26 pdr:-3398.73583984375 snr:-0.9897000433601875 Cn0:16.0 
sat:GPS29 pdr:324.43524169921875 snr:1.0102999566398125 Cn0:18.0 
sat:GPS31 pdr:-511.4677734375 snr:-0.9897000433601875 Cn0:16.0 
",40.0,45.06488815,7.656734859,polito,172.21.54.1
145,586,45.065,7.656789999999999,15/3/18 18.49,8.14,72,18.885,0,-68,696,f4:cf:e2:c6:b1:d0,15.5112,e0:aa:96:14:1b:8e,0,,40.0,45.06488815,7.656734859,polito,172.21.86.1
146,585,45.0649,7.65685,15/3/18 18.49,15.11,43,18.016,0,-72,696,f4:cf:e2:c6:b1:d0,38.9623,10:7b:44:89:6a:6d,0,,40.0,45.06488815,7.656734859,polito,172.21.86.1
147,584,45.0648,7.65675,15/3/18 18.49,5.16,72,18.105,0,-74,696,f4:cf:e2:c9:5c:40,13.9676,e0:aa:96:14:1b:8e,0,,42.0,45.06469778,7.656677333999999,polito,172.21.54.1
148,583,45.0648,7.65675,15/3/18 18.49,5.16,72,18.105,0,-74,696,f4:cf:e2:c9:5c:40,13.9676,e0:aa:96:14:1b:8e,0,,42.0,45.06469778,7.656677333999999,polito,172.21.54.1
149,582,45.0648,7.65675,15/3/18 18.49,5.16,72,18.105,0,-74,696,f4:cf:e2:c9:5c:40,13.9676,e0:aa:96:14:1b:8e,0,,42.0,45.06469778,7.656677333999999,polito,172.21.54.1
150,581,45.0648,7.65675,15/3/18 18.49,5.16,72,18.105,0,-74,696,f4:cf:e2:c9:5c:40,13.9676,e0:aa:96:14:1b:8e,0,,42.0,45.06469778,7.656677333999999,polito,172.21.54.1
151,580,45.0648,7.65675,15/3/18 18.49,5.16,72,18.105,0,-74,696,f4:cf:e2:c9:5c:40,13.9676,e0:aa:96:14:1b:8e,0,,42.0,45.06469778,7.656677333999999,polito,172.21.54.1
152,579,45.0648,7.65675,15/3/18 18.48,5.16,72,18.105,0,-74,696,f4:cf:e2:c9:5c:40,13.9676,e0:aa:96:14:1b:8e,0,,42.0,45.06469778,7.656677333999999,polito,172.21.54.1
153,578,45.0647,7.65677,15/3/18 18.48,5.49,72,17.834,0,-65,696,f4:cf:e2:c9:5c:40,17.5842,10:7b:44:89:6a:6d,0,,42.0,45.06469778,7.656677333999999,polito,172.21.54.1
154,577,45.0647,7.65678,15/3/18 18.47,20.52,72,17.65,0,-51,696,f4:cf:e2:c9:5c:40,3.12696,e0:aa:96:14:1b:8e,0,,41.0,45.06475123,7.656802992,polito,172.21.54.1
155,576,45.0647,7.65678,15/3/18 18.47,21.95,72,17.77,0,-52,696,f4:cf:e2:c9:5c:40,3.93661,10:7b:44:89:6a:6d,0,,41.0,45.06475123,7.656802992,polito,172.21.54.1
156,575,45.0647,7.656789999999999,15/3/18 18.46,29.51,135,17.62,0,-51,696,f4:cf:e2:c9:5c:4f,1.45603,60:45:cb:2f:f:cb,0,,41.0,45.06475123,7.656802992,polito,172.21.52.1
157,571,45.0647,7.656789999999999,15/3/18 17.34,31.48,65,17.910999999999998,0,-71,696,f4:cf:e2:c9:5c:40,19.7298,90:97:f3:dd:7a:b4,0,,41.0,45.06475123,7.656802992,polito,172.21.54.1
158,570,45.0647,7.656789999999999,15/3/18 17.33,31.48,65,17.910999999999998,0,-71,696,f4:cf:e2:c9:5c:40,19.7298,90:97:f3:dd:7a:b4,0,,41.0,45.06475123,7.656802992,polito,172.21.54.1
159,569,45.0127,7.626010000000001,15/3/18 17.30,27.17,72,9455.9,0,-70,696,f4:cf:e2:c9:4f:f0,38.5667,bc:3a:ea:86:34:2f,0,,41.0,45.06475123,7.656802992,polito,172.21.84.1
160,567,45.0647,7.6568,15/3/18 17.26,34.32,585,17.811,0,-64,696,f4:cf:e2:c9:5c:4f,1.29769,60:f1:89:4a:de:20,0,,41.0,45.06475123,7.656802992,polito,172.21.52.1
