_id,name,building,wkt_geom
385,research_lab11,ismb,"Polygon ((7.65881145182467993 45.06532553538143304, 7.65885429334579904 45.06538233145107597, 7.65894267215307867 45.06535209659597285, 7.65890144280518381 45.06529490409030814, 7.65881145182467993 45.06532553538143304))"
386,research_lab12,ismb,"Polygon ((7.65895075944826065 45.06551577182136015, 7.65898369006843804 45.06556038409014064, 7.65908026188715851 45.06552761204437729, 7.65905996436204273 45.06549980866360272, 7.6590518242087402 45.06550276871934813, 7.65904030113458489 45.06548585411508157, 7.65895075944826065 45.06551577182136015))"
387,research_lab13,ismb,"Polygon ((7.65901968646064546 45.0656105728926093, 7.65908517769402675 45.06570053744404447, 7.65917329221061749 45.0656697740075316, 7.65916124055507908 45.06565433943113419, 7.65916895784327423 45.06565116794283909, 7.65912984282091536 45.06559608976271392, 7.65912149123505959 45.06559883838590252, 7.65910838241675496 45.06558044375376682, 7.65901968646064546 45.0656105728926093))"
388,research_lab14,ismb,"Polygon ((7.65889525840299079 45.06523654870555617, 7.65879207931698147 45.06527058934663188, 7.65880534670970281 45.06528739823462359, 7.65878874925426878 45.06529263119031725, 7.65881005108401158 45.06532143887571351, 7.65891825169316842 45.06528417388818042, 7.65890641147018325 45.06526736500019581, 7.65891529163742035 45.06526303063287031, 7.65889525840299079 45.06523654870555617))"
389,stairs,ismb,"Polygon ((7.65932996373263109 45.06573827815490318, 7.65934444686253357 45.06575873425445167, 7.65944117725566986 45.06572416503199463, 7.65942701127459902 45.06570397322315813, 7.65932996373263109 45.06573827815490318))"
390,research_lab15,ismb,"Polygon ((7.65934476401136344 45.0657594214102275, 7.65939127917308937 45.06582591694825624, 7.65948874958016379 45.06579124200951014, 7.65944191726960621 45.06572495790405242, 7.65934476401136344 45.0657594214102275))"
391,hall1,ismb,"Polygon ((7.65855072905732026 45.06481270572300701, 7.65857388092190661 45.06484378630834442, 7.65860823871181839 45.06483184036908085, 7.65858593257744502 45.06480012548608727, 7.65855072905732026 45.06481270572300701))"
392,conference_room1,ismb,"Polygon ((7.65854594539579647 45.06486968679611493, 7.65849023291800357 45.0648891914491827, 7.65852813220318485 45.0649398824038272, 7.65860223931311612 45.06491361190908407, 7.65854594539579647 45.06486968679611493))"
393,warehouse1,ismb,"Polygon ((7.65857832100553182 45.06485824300922616, 7.65859650420511606 45.06486754604156886, 7.65862504759981189 45.06485760871156998, 7.65861637886512625 45.06484566277230641, 7.65857832100553182 45.06485824300922616))"
394,research_lab16,ismb,"Polygon ((7.6586631583175464 45.06482880102618083, 7.65861780603486153 45.06484476418395957, 7.65864148648083454 45.06487806481110425, 7.65867071703133018 45.0648805491436093, 7.65869524320751349 45.06487198612520473, 7.6586631583175464 45.06482880102618083))"
395,lift,ismb,"Polygon ((7.65859486560283287 45.06492103847761399, 7.65860512008166783 45.06493583875634812, 7.65862298613242221 45.06492886148208754, 7.65861178020709676 45.06491458978474185, 7.65859486560283287 45.06492103847761399))"
