,id,room,grid,speed,lat,lon
147,662,9i,3,19.8,45.06576093,7.658508565
148,662,9i,4,33.04,45.0657723,7.658474918
149,662,9i,5,40.71,45.06578367,7.65844127
150,662,9i,6,25.145000000000003,45.06578503,7.658524764
151,662,9i,7,33.68,45.065796399999996,7.6584911170000005
152,662,9i,8,41.82,45.06580777,7.658457469
153,660,7i,0,15.94,45.06562161,7.658416365
154,660,7i,1,19.345,45.06563421,7.658379064
155,660,7i,2,33.71,45.06564682,7.658341762999999
156,660,7i,3,33.04,45.06564735,7.6584336660000005
157,660,7i,4,14.71,45.06565996,7.658396365
158,660,7i,5,33.26,45.06567256,7.658359064
159,660,7i,6,13.55,45.065673100000005,7.658450966
160,660,7i,7,15.0,45.0656857,7.658413665
161,660,7i,8,33.57,45.06569831,7.6583763639999995
162,658,5i,0,43.1,45.06551647,7.658250881
163,658,5i,1,45.07,45.065503799999995,7.658288363
164,658,5i,2,43.84,45.06549114,7.658325845
165,658,5i,3,40.24,45.06549118,7.658233888
166,658,5i,4,43.5,45.06547852,7.6582713710000005
167,658,5i,5,41.86,45.06546585,7.658308852999999
168,658,5i,6,59.08,45.0654659,7.658216896
169,658,5i,7,44.37,45.06545323,7.658254378
170,658,5i,8,42.42,45.06544057,7.65829186
171,656,3i,0,22.52,45.06531048,7.65820382
172,656,3i,1,27.84,45.06532276,7.65816749
173,656,3i,2,4.8,45.06533503,7.65813116
174,656,3i,3,33.94,45.06533859,7.658222712000001
175,656,3i,4,36.7,45.06535087,7.658186382
176,656,3i,5,30.8,45.06536314,7.658150052000001
177,656,3i,6,32.98,45.0653667,7.658241603
178,656,3i,7,33.91,45.06537898,7.658205272999999
179,656,3i,8,35.07,45.06539126,7.658168943
180,654,1i,0,10.51,45.06525631,7.658076138999999
181,654,1i,1,8.65,45.06524402,7.658112522000001
182,654,1i,2,42.47,45.06523172,7.658148904
183,654,1i,3,25.84,45.06522777,7.65805696
184,654,1i,4,27.69,45.06521548,7.658093342000001
185,654,1i,5,51.2,45.06520318,7.658129725
186,654,1i,6,35.2,45.06519923,7.658037781
187,654,1i,7,36.22,45.06518694,7.658074162999999
188,654,1i,8,46.21,45.06517464,7.6581105460000005
189,497,2N,0,45.595,45.064958000000004,7.656660692999999
190,497,2N,1,40.675,45.06497307,7.6566708189999995
191,497,2N,2,14.674999999999999,45.06498814,7.656680945
192,497,2N,3,29.23,45.06494638,7.656695096
193,497,2N,4,48.92,45.06496145,7.656705222
194,497,2N,5,26.61,45.06497652,7.656715348
195,497,2N,6,27.08,45.06493475,7.656729499
196,497,2N,7,30.92,45.06494982,7.656739625
197,497,2N,8,32.98,45.06496489,7.656749751
198,499,4N,0,27.36,45.06486114,7.656592089
199,499,4N,1,31.52,45.06487636,7.656602316
200,499,4N,2,37.61,45.06489158,7.656612543
201,499,4N,3,29.9,45.06484986,7.656625472999999
202,499,4N,4,30.17,45.06486508,7.656635700000001
203,499,4N,5,28.69,45.0648803,7.6566459270000005
204,499,4N,6,6.75,45.06483858,7.656658857
205,499,4N,7,7.93,45.064853799999995,7.656669084
206,499,4N,8,28.05,45.06486902,7.656679311
207,510,6N,0,20.41,45.064718,7.656486298
208,510,6N,1,40.59,45.06473328,7.656496562
209,510,6N,2,21.82,45.06474855,7.656506826
210,510,6N,3,38.54,45.06470636,7.6565207410000005
211,510,6N,4,41.19,45.06472164,7.656531005
212,510,6N,5,41.45,45.06473691,7.656541269
213,510,6N,6,40.51,45.06469473,7.656555184
214,510,6N,7,42.49,45.06471,7.656565447999999
215,510,6N,8,41.52,45.06472527,7.656575711
216,508,7N,0,0.0,45.06464681,7.656780327000001
217,508,7N,1,10.52,45.06463286,7.656770947999999
218,508,7N,2,40.69,45.0646189,7.6567615689999995
219,508,7N,3,7.12,45.06466077,7.656739041
220,508,7N,4,22.29,45.06464681,7.656729662
221,508,7N,5,31.52,45.06463285,7.656720282999999
222,508,7N,6,15.82,45.06467472,7.656697755
223,508,7N,7,31.78,45.06466076,7.656688376
224,508,7N,8,19.87,45.0646468,7.656678997
225,505,5N,0,34.33,45.06471719,7.656824929
226,505,5N,1,42.53,45.06470962,7.656819838
227,505,5N,2,30.98,45.06470204,7.6568147479999995
228,505,5N,3,36.17,45.06472942,7.656788736
229,505,5N,4,41.71,45.06472185,7.656783645
230,505,5N,5,38.3,45.06471427,7.656778554
231,505,5N,6,40.56,45.06474165,7.656752542
232,505,5N,7,42.9,45.06473408,7.656747452
233,505,5N,8,43.93,45.0647265,7.656742361
234,498,3N,0,12.39,45.06484636,7.656921106
235,498,3N,1,41.6,45.0648315,7.656911114
236,498,3N,2,34.12,45.06481663,7.656901122000001
237,498,3N,3,38.02,45.06485924,7.656883012000001
238,498,3N,4,37.019999999999996,45.06484437,7.65687302
239,498,3N,5,35.38,45.0648295,7.656863027999999
240,498,3N,6,49.69,45.06487211,7.656844917999999
241,498,3N,7,89.09,45.06485724,7.656834926
242,498,3N,8,16.4,45.06484237,7.656824933999999
243,572,2M,0,0.0,45.064518,7.656343317
244,572,2M,1,0.0,45.06450697,7.656375944
245,572,2M,2,0.0,45.06449595,7.656408571
246,572,2M,3,0.0,45.06450319,7.6563333689999995
247,572,2M,4,0.0,45.06449217,7.656365996
248,572,2M,5,0.0,45.06448114,7.656398622999999
249,572,2M,6,0.0,45.06448839,7.656323421000001
250,572,2M,7,0.0,45.06447736,7.656356047999999
251,572,2M,8,0.0,45.06446634,7.656388675
252,578,4M,0,0.0,45.06442492,7.656278663999999
253,578,4M,1,0.0,45.06443266,7.656283867999999
254,578,4M,2,0.0,45.06444041,7.656289072000001
255,578,4M,3,0.0,45.06441426,7.6563102
256,578,4M,4,0.0,45.06442201,7.656315404
257,578,4M,5,0.0,45.06442975,7.656320608
258,578,4M,6,0.0,45.06440361,7.656341736
259,578,4M,7,0.0,45.06441135,7.65634694
260,578,4M,8,0.0,45.0644191,7.6563521439999995
261,588,laib2B,0,0.0,45.0642618,7.656129397000001
262,588,laib2B,1,0.0,45.06424236,7.656186931000001
263,588,laib2B,2,0.0,45.06422292,7.656244463999999
264,588,laib2B,3,0.0,45.064249600000004,7.656121197999999
265,588,laib2B,4,0.0,45.06423016,7.656178732000001
266,588,laib2B,5,0.0,45.06421072,7.656236265
267,588,laib2B,6,0.0,45.0642374,7.656112998999999
268,588,laib2B,7,0.0,45.06421796,7.656170532999999
269,588,laib2B,8,0.0,45.06419852,7.656228066000001
270,596,laib1B,0,0.0,45.064134700000004,7.656056916
271,596,laib1B,1,36.05,45.06412189,7.656094816
272,596,laib1B,2,37.9,45.06410909,7.656132715
273,596,laib1B,3,33.88,45.06412492,7.656050347000001
274,596,laib1B,4,33.35,45.06411212,7.6560882470000005
275,596,laib1B,5,34.38,45.06409931,7.656126146
276,596,laib1B,6,0.0,45.06411515,7.656043778
277,596,laib1B,7,31.9,45.06410234,7.656081678
278,596,laib1B,8,29.0,45.06408954,7.656119577
