5i,5,"(45.06546585158251, 7.658308852638264)"
5i,6,"(45.065465897418406, 7.658216895869314)"
5i,7,"(45.06545323157687, 7.6582543779690315)"
5i,8,"(45.0654405657228, 7.65829186005241)"
3i,0,"(45.06539125526822, 7.658168942732578)"
3i,1,"(45.06537897873609, 7.658205272753117)"
3i,2,"(45.06536670219219, 7.658241602758307)"
3i,3,"(45.0653631439673, 7.658150051504627)"
3i,4,"(45.06535086744097, 7.658186381511118)"
3i,5,"(45.06533859090287, 7.658222711502262)"
3i,6,"(45.065335032663356, 7.658131160294949)"
3i,7,"(45.065322756142805, 7.6581674902873935)"
3i,8,"(45.065310479610496, 7.65820382026449)"
1i,0,"(45.0652563117253, 7.65807613892552)"
1i,1,"(45.065244017380714, 7.658112521675874)"
1i,2,"(45.065231723024326, 7.658148904410836)"
1i,3,"(45.0652277717786, 7.658056959741447)"
1i,4,"(45.06521547743989, 7.65809334247752)"
1i,5,"(45.06520318308939, 7.6581297251982)"
1i,6,"(45.065199231828764, 7.658037780576209)"
1i,7,"(45.06518693749594, 7.658074163298)"
1i,8,"(45.065174643151316, 7.6581105460044)"
